編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,週轉折值,月轉折值
1,5314,世紀*,其他,77.6,1.31,-12.31,-10.19,-29.92,136.76,207.58,-3550,74.8,76.6,88.5,86.41,74.8,70.1
2,3056,富華新,建材營造,14.95,1.36,-10.25,-27.98,-15.56,-96.9,-95.28,-2989,13.15,14.75,16.66,20.76,13.15,14.6
3,2537,聯上發,建材營造,10.4,1.96,-3.11,-5.74,-60.19,272.74,86.54,813,10.35,10.2,10.73,11.03,10.35,10.15
4,2540,愛山林,建材營造,48.8,1.67,2.14,-6.45,9.14,-33.02,-35.61,-572,48.3,48.0,47.78,52.16,48.3,46.3
5,4147,中裕,生技醫療業,56.0,9.16,0.23,-22.25,31.37,2.87,11.06,-2922,55.5,51.3,55.87,72.03,55.5,41.8
6,4164,承業醫,生技醫療業,31.0,2.82,-7.57,-25.08,0.0,0.0,0.0,-3186,28.6,30.15,33.54,41.38,28.6,26.9
7,2913,農林,貿易百貨,12.3,0.82,-4.62,-14.44,-1.58,2.09,-9.66,-1248,12.2,12.2,12.9,14.38,12.2,12.3
8,1102,亞泥,水泥工業,35.3,1.73,-0.75,-7.39,-41.65,-16.52,-8.72,-44044,34.65,34.7,35.57,38.12,34.65,34.0
9,2206,三陽工業,汽車工業,59.3,1.72,-0.71,-4.77,-23.66,-10.75,0.58,-5856,57.8,58.3,59.72,62.27,57.8,59.2
10,2101,南港,橡膠工業,35.95,2.13,2.95,-1.88,-17.77,-23.52,-6.18,-2100,34.75,35.2,34.92,36.64,34.75,34.21
11,9910,豐泰,運動休閒,81.7,2.0,-13.77,-27.43,-14.85,-12.32,-4.84,-11454,75.3,80.1,94.75,112.58,75.3,70.4
12,6143,振曜,通信網路業,96.0,0.95,-9.75,-18.94,-36.82,-2.17,11.31,-884,94.5,95.1,106.37,118.43,94.5,82.5
13,1316,上曜,建材營造,12.2,1.67,-10.97,-15.33,-27.58,108.62,179.15,1602,11.75,12.0,13.7,14.41,11.75,12.15
14,6409,旭隼,其他電子業,778.0,7.46,-12.64,-29.56,-35.0,-15.58,-8.26,-594,629.0,724.0,890.55,1104.47,629.0,692.0
15,1229,聯華,食品工業,44.85,-0.44,-1.41,-1.18,-31.01,-12.87,5.86,-2771,44.45,45.05,45.49,45.39,44.45,43.65
