編號,代號,名稱,產業,現價,漲幅(%),季乖離(%),年乖離(%),月營收MoM(%),月營收YoY(%),今年營收YoY(%),20日法人買賣超(張),轉折值,基準價,基準MA60,基準MA240,近一年創高次數
1,3088,艾訊,電腦及週邊設備業,125.0,-1.19,-7.94,27.71,17.33,66.92,41.51,-3183,146.56,126.5,135.78,97.88,4
2,3044,健鼎,電子工業,485.5,1.04,5.96,29.98,22.74,56.55,32.01,-3363,583.0,480.5,458.2,373.52,5
3,3017,奇鋐,電腦及週邊設備業,2985.0,-3.55,18.3,61.47,5.52,57.39,83.12,12426,4065.88,3095.0,2523.3,1848.64,6
4,3037,欣興,電子零組件業,1140.0,0.88,21.45,123.66,9.11,43.69,30.33,53859,1201.0,1130.0,938.62,509.71,4
5,3081,聯亞,通信網路業,2780.0,3.73,35.05,117.28,19.19,176.54,123.6,50,3320.0,2680.0,2058.51,1279.48,7
6,3023,信邦,電子零組件業,319.0,-0.93,4.39,28.82,2.41,28.97,9.89,2508,347.96,322.0,305.59,247.64,4
7,3010,華立,電子通路業,127.0,-2.31,2.8,12.52,9.75,31.45,17.61,1104,136.5,130.0,123.54,112.87,4
8,6669,緯穎,電腦及週邊設備業,6325.0,-0.78,19.14,48.53,5.67,39.23,49.73,1195,7580.0,6375.0,5308.7,4258.29,5
9,6691,洋基工程,電子工業,610.0,-1.74,-1.54,17.4,7.3,177.06,93.98,-2751,673.58,620.82,619.52,519.6,5
10,6834,天二科技,電子零組件業,93.5,-4.59,-4.84,90.86,13.34,88.24,39.45,-1053,111.9,98.0,98.26,48.99,6
11,6693,廣閎科,半導體業,169.0,-2.87,-11.81,45.67,3.5,108.9,79.39,-1317,192.0,174.0,191.63,116.02,8
12,4772,台特化,化學工業,249.0,0.61,-4.72,-16.58,7.87,269.27,263.65,516,274.0,247.5,261.33,298.5,5
13,6830,汎銓,其他電子業,420.0,2.56,-9.72,16.66,16.72,26.15,21.3,-1097,450.5,409.5,465.23,360.03,6
14,4979,華星光,通信網路業,570.0,7.75,17.54,54.11,11.8,31.01,17.89,11260,620.0,529.0,484.94,369.86,5
15,6510,精測,半導體業,2760.0,3.76,-7.9,2.93,7.09,49.87,23.95,-713,3390.0,2660.0,2996.63,2681.4,6
16,6525,捷敏-KY,電子工業,141.5,-0.7,-3.8,46.41,9.11,31.99,16.89,-1641,148.5,142.5,147.09,96.64,4
